Branch Code,City,Age,Avg. Annual Income/Month,Balance Q1,NumOfProducts Q1,HasCrCard Q1,ActiveMember Q1,Balance Q2,NumOfProducts Q2,HasCrCard Q2,ActiveMember Q2,Balance Q3,NumOfProducts Q3,HasCrCard Q3,ActiveMember Q3,Balance Q4,NumOfProducts Q4,HasCrCard Q4,ActiveMember Q4
1004,Jakarta,54,28000000,31445714.56,1,1,0,31606842.56,1,1,1,31735653.56,1,1,1,31735653.56,1,1,0
1009,Jakarta,58,30000000,154423269.0,1,1,0,154423269.0,1,1,0,154777257.0,1,1,1,154527790.0,1,1,1
1006,Jakarta,55,0,0.0,2,1,1,0.0,2,1,0,746798.76,2,1,1,572412.76,3,1,1
1006,Jakarta,38,13000000,11460287.48,1,1,0,11460287.48,1,1,0,11371026.48,1,1,1,11398821.48,1,1,1
1007,Jakarta,26,15000000,27067342.5,1,1,0,27432335.5,1,1,1,27432335.5,2,1,0,27209105.5,2,1,1
1003,Jakarta,56,19000000,0.0,2,1,0,515876.88,2,1,1,907337.88,2,1,1,907337.88,2,1,0
1009,Jakarta,27,35000000,142323236.5,2,0,1,142110159.5,3,0,1,141881425.5,3,0,1,141881425.5,3,1,0
1002,Jakarta,58,30000000,40952410.52,1,1,0,40952410.52,1,1,0,41326306.52,1,1,1,41326306.52,1,1,0
1006,Jakarta,66,16000000,126591094.9,2,1,0,126997167.9,2,1,1,127394189.9,2,1,1,127080664.9,2,1,1
1004,Jakarta,57,28000000,0.0,1,1,1,0.0,1,1,0,0.0,1,1,0,0.0,1,1,0
1004,Jakarta,61,21000000,0.0,2,0,0,0.0,2,0,0,0.0,2,0,0,90582.72,2,1,1
1009,Jakarta,32,38000000,35482841.08,1,1,1,35482841.08,1,1,0,35441419.08,1,1,1,35421767.08,1,1,1
1006,Jakarta,36,57000000,0.0,2,1,1,153530.3,2,1,1,538742.3,2,1,1,111119.3,2,1,1
1005,Jakarta,44,50000000,171527522.9,1,1,0,171560900.9,1,1,1,171641563.9,1,1,1,171641563.9,2,1,0
1006,Jakarta,22,7000000,129351725.1,1,1,1,129324005.1,2,1,1,129324005.1,2,1,0,129324005.1,2,1,0
1001,Jakarta,66,24000000,24457555.45,1,0,0,24004551.45,1,0,1,24004551.45,1,0,0,24363807.45,1,1,1
1003,Jakarta,53,23000000,79482784.12,1,1,1,79482784.12,1,1,0,79297206.12,1,1,1,79297206.12,1,1,0
1005,Jakarta,48,22000000,85046249.7,1,1,0,85541941.7,2,1,1,85311686.7,2,1,1,85311686.7,2,1,0
1004,Jakarta,59,15000000,82175150.22,1,1,1,82623225.22,1,1,1,82320268.22,1,1,1,82099355.22,1,1,1
1009,Jakarta,32,22000000,62374494.0,1,1,1,62092437.0,1,1,1,62092437.0,1,1,0,62092437.0,1,1,0
1008,Jakarta,69,16000000,127998915.7,1,1,0,127988289.7,1,1,1,127692341.7,1,1,1,128145110.7,1,1,1
1005,Jakarta,66,28000000,0.0,2,1,1,479540.8,2,1,1,663152.8,2,1,1,663152.8,2,1,0
1008,Jakarta,34,21000000,146714479.5,1,1,1,146936600.5,1,1,1,146936600.5,1,1,0,146854701.5,2,1,1
1003,Jakarta,25,4000000,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1006,Jakarta,24,16000000,0.0,2,1,0,894218.62,2,1,1,687756.62,2,1,1,687756.62,2,1,0
1009,Jakarta,65,20000000,68469230.22,1,1,1,68876819.22,1,1,1,68860914.22,1,1,1,68860914.22,2,1,0
1006,Jakarta,51,21000000,101667234.5,1,1,1,101331841.5,1,1,1,100938666.5,1,1,1,100938666.5,1,1,0
1003,Jakarta,35,27000000,0.0,1,0,0,0.0,1,0,0,0.0,1,0,0,579499.56,1,1,1
1006,Jakarta,36,48000000,221250557.9,2,0,0,221250557.9,3,0,0,221139523.9,3,0,1,221421661.9,3,1,1
1001,Jakarta,58,21000000,69295734.23,1,1,1,69486237.23,1,1,1,69978449.23,1,1,1,70102891.23,1,1,1
1005,Jakarta,22,9000000,0.0,2,1,1,0.0,3,1,0,0.0,3,1,0,0.0,3,1,0
1008,Jakarta,47,26000000,0.0,2,1,0,290497.1,2,1,1,290497.1,2,1,0,711435.1,2,1,1
1007,Jakarta,26,40000000,75419796.18,1,1,0,75058200.18,1,1,1,75442133.18,1,1,1,75128612.18,1,1,1
1007,Jakarta,63,27000000,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1003,Jakarta,69,21000000,48227147.1,1,1,1,48666345.1,1,1,1,48448536.1,1,1,1,48448536.1,1,1,0
1002,Jakarta,50,19000000,125106152.9,2,1,1,125326386.9,2,1,1,125326386.9,2,1,0,125326386.9,2,1,0
1007,Jakarta,27,32000000,79078090.48,1,1,1,78580933.48,1,1,1,78580933.48,1,1,0,78273569.48,1,1,1
1002,Jakarta,22,19000000,67070764.32,1,1,1,67091203.32,1,1,1,67369070.32,1,1,1,67369070.32,1,1,0
1006,Jakarta,33,34000000,25166474.67,2,1,0,24826443.67,2,1,1,24826443.67,2,1,0,25288708.67,3,1,1
1001,Jakarta,59,24000000,93090209.35,1,1,1,92693321.35,1,1,1,92242015.35,1,1,1,92242015.35,1,1,0
1001,Jakarta,29,25000000,83351346.02,1,1,0,83635150.02,1,1,1,83635150.02,1,1,0,83666227.02,1,1,1
1001,Jakarta,44,25000000,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1001,Jakarta,58,25000000,100778345.1,2,1,0,100778345.1,2,1,0,100778345.1,2,1,0,100809902.1,2,1,1
1001,Jakarta,51,30000000,80955260.89,1,1,0,80955260.89,1,1,0,80955260.89,1,1,0,80955260.89,1,1,0
1007,Jakarta,57,25000000,70897448.7,2,1,1,70897448.7,2,1,0,70897448.7,2,1,0,70897448.7,2,1,0
1003,Jakarta,22,21000000,0.0,1,1,0,0.0,1,1,0,1515367.14,1,1,1,1328862.14,1,1,1
1009,Jakarta,42,15000000,60230110.31,2,0,0,60230110.31,2,0,0,60082833.31,2,0,1,60082833.31,2,1,0
1003,Jakarta,47,27000000,45594341.17,1,1,1,45174121.17,1,1,1,44965657.17,1,1,1,45243557.17,1,1,1
1002,Jakarta,35,40000000,106366115.7,1,1,0,106366115.7,2,1,0,106024623.7,2,1,1,106024623.7,2,1,0
1006,Jakarta,37,32000000,49428720.35,1,1,0,49600471.35,1,1,1,49600471.35,1,1,0,49152792.35,1,1,1
1005,Jakarta,38,16000000,117157995.2,1,0,0,117420071.2,1,0,1,117420071.2,1,0,0,117192027.2,1,1,1
1004,Jakarta,70,20000000,0.0,1,1,1,0.0,1,1,0,0.0,1,1,0,0.0,1,1,0
1009,Jakarta,31,37000000,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1004,Jakarta,64,25000000,80095138.54,1,1,0,79906108.54,1,1,1,79490488.54,1,1,1,79815797.54,1,1,1
1004,Jakarta,56,22000000,0.0,1,1,0,941582.38,1,1,1,941582.38,1,1,0,556797.38,1,1,1
1001,Jakarta,66,20000000,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1002,Jakarta,53,19000000,92524974.72,1,1,1,92999453.72,1,1,1,93233331.72,1,1,1,93233331.72,1,1,0
1004,Jakarta,35,17000000,153486321.6,1,1,0,153124597.6,1,1,1,153307183.6,1,1,1,153189940.6,1,1,1
1002,Jakarta,68,17000000,0.0,2,1,1,716180.62,3,1,1,247359.62,3,1,1,695020.62,3,1,1
1005,Jakarta,30,30000000,63266097.52,2,1,1,63266097.52,2,1,0,63222075.52,2,1,1,63321644.52,2,1,1
1008,Jakarta,62,21000000,0.0,2,1,0,1417122.82,2,1,1,1138405.82,2,1,1,1138405.82,2,1,0
1002,Jakarta,26,22000000,12500063.28,1,1,1,12500063.28,1,1,0,12238013.28,1,1,1,12238013.28,1,1,0
1009,Jakarta,67,19000000,0.0,2,1,1,0.0,2,1,0,0.0,2,1,0,0.0,3,1,0
1001,Jakarta,58,0,69066572.17,2,1,1,69520485.17,2,1,1,70010553.17,2,1,1,69832424.17,2,1,1
1003,Jakarta,60,21000000,13995568.51,1,1,0,13928685.51,1,1,1,14221455.51,1,1,1,14236797.51,1,1,1
1004,Jakarta,58,18000000,0.0,2,1,1,0.0,2,1,0,100319.86,2,1,1,100319.86,2,1,0
1007,Jakarta,58,21000000,0.0,2,1,1,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1006,Jakarta,26,36000000,49542155.47,1,1,0,49176389.47,1,1,1,49015537.47,1,1,1,48990789.47,1,1,1
1002,Jakarta,53,26000000,8764476.6,3,1,0,8868802.6,4,1,1,8868802.6,4,1,0,8868802.6,4,1,0
1001,Jakarta,64,28000000,162806542.5,2,1,1,162806542.5,2,1,0,162806542.5,2,1,0,162450887.5,2,1,1
1005,Jakarta,51,20000000,0.0,3,1,1,0.0,3,1,0,0.0,4,1,0,0.0,4,1,0
1005,Jakarta,43,35000000,64065204.04,2,1,0,64065204.04,2,1,0,63909334.04,2,1,1,63493690.04,2,1,1
1006,Jakarta,42,59000000,41363695.55,1,1,1,40992470.55,2,1,1,40992470.55,2,1,0,40992470.55,2,1,0
1004,Jakarta,32,18000000,0.0,2,1,1,0.0,2,1,0,658979.24,2,1,1,707449.24,2,1,1
1008,Jakarta,54,23000000,27302232.42,1,1,1,27726058.42,1,1,1,27447416.42,1,1,1,27447416.42,1,1,0
1007,Jakarta,45,59000000,114627792.0,1,1,0,114469038.0,1,1,1,114469038.0,1,1,0,114469038.0,1,1,0
1001,Jakarta,37,49000000,63138015.0,1,1,0,63585527.0,1,1,1,64010741.0,1,1,1,64125602.0,1,1,1
1001,Jakarta,24,8000000,35017434.5,1,0,0,34548852.5,1,0,1,34656951.5,1,0,1,34619611.5,1,1,1
1007,Jakarta,54,30000000,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0,146572.06,2,1,1
1006,Jakarta,49,20000000,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1005,Jakarta,47,26000000,0.0,2,1,1,1011795.92,2,1,1,801229.92,2,1,1,629852.92,2,1,1
1007,Jakarta,43,42000000,0.0,1,0,0,443487.32,1,0,1,443487.32,1,0,0,443487.32,1,1,0
1007,Jakarta,58,24000000,79375758.56,2,1,0,79375758.56,2,1,0,79375758.56,2,1,0,79375758.56,2,1,0
1005,Jakarta,46,20000000,125843910.9,2,1,0,125521030.9,3,1,1,125521030.9,3,1,0,125106643.9,3,1,1
1003,Jakarta,34,23000000,15504746.9,1,0,1,15537411.9,2,0,1,16032998.9,2,0,1,15738835.9,2,1,1
1001,Jakarta,33,29000000,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0,0.0,3,1,0
1008,Jakarta,49,25000000,64357880.96,1,1,0,64606365.96,1,1,1,64606365.96,1,1,0,64606365.96,1,1,0
1001,Jakarta,35,27000000,9191314.83,2,1,1,9191314.83,2,1,0,8706236.83,2,1,1,8706236.83,2,1,0
1005,Jakarta,65,15000000,0.0,1,1,1,0.0,1,1,0,0.0,1,1,0,0.0,1,1,0
1003,Jakarta,68,18000000,113097781.4,3,1,0,112605934.4,3,1,1,112561633.4,3,1,1,112372237.4,3,1,1
1003,Jakarta,49,22000000,190010968.5,2,1,1,190010968.5,2,1,0,189515094.5,2,1,1,189080228.5,2,1,1
1004,Jakarta,53,24000000,0.0,2,1,1,0.0,2,1,0,0.0,2,1,0,0.0,3,1,0
1009,Jakarta,63,24000000,144962107.0,1,1,0,144962107.0,1,1,0,144647462.0,1,1,1,144492486.0,1,1,1
1004,Jakarta,34,53000000,0.0,1,1,0,1315609.76,1,1,1,1255855.76,1,1,1,1645149.76,1,1,1
1004,Jakarta,48,25000000,0.0,2,1,1,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1005,Jakarta,54,22000000,27881190.77,1,1,0,27843412.77,1,1,1,27460666.77,1,1,1,27460666.77,1,1,0
1006,Jakarta,26,31000000,141279372.8,1,1,1,141279372.8,2,1,0,141279372.8,2,1,0,141402087.8,2,1,1
1003,Jakarta,47,15000000,0.0,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0,2,1,0
1008,Jakarta,62,27000000,93228479.76,1,1,1,93469923.76,2,1,1,93192443.76,2,1,1,92926386.76,2,1,1
1003,Jakarta,61,28000000,92751420.3,2,1,1,92482286.3,2,1,1,92837284.3,2,1,1,92786571.3,2,1,1
1006,Jakarta,54,18000000,0.0,1,1,0,0.0,1,1,0,1361061.26,1,1,1,1361061.26,1,1,0
1005,Jakarta,22,14000000,0.0,3,1,1,0.0,3,1,0,1564319.74,3,1,1,1087800.74,3,1,1
1004,Jakarta,55,25000000,25941735.96,1,1,1,25941735.96,1,1,0,25941735.96,1,1,0,25664691.96,1,1,1
1009,Jakarta,25,20000000,0.0,1,1,1,366240.18,1,1,1,366240.18,2,1,0,655512.18,2,1,1
1002,Jakarta,64,19000000,82859475.06,2,1,1,82859475.06,2,1,0,82859475.06,2,1,0,82650874.06,2,1,1
1001,Jakarta,65,16000000,22710812.49,1,1,0,22710812.49,2,1,0,22710812.49,2,1,0,22894106.49,2,1,1
1005,Jakarta,33,14000000,102799229.7,1,1,0,102503046.7,1,1,1,102630405.7,1,1,1,102630405.7,2,1,0
1009,Jakarta,47,20000000,51823840.8,1,1,1,51823840.8,1,1,0,51823840.8,1,1,0,51773002.8,1,1,1
1007,Jakarta,35,57000000,24744919.91,3,1,0,24778846.91,3,1,1,24778846.91,3,1,0,24778846.91,3,1,0
1004,Jakarta,44,49000000,120544475.2,1,1,1,120544475.2,1,1,0,120544475.2,1,1,0,120406144.2,1,1,1
1006,Jakarta,33,17000000,54295824.26,2,1,0,54040764.26,2,1,1,53927103.26,2,1,1,54357035.26,2,1,1
1008,Jakarta,68,23000000,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1009,Jakarta,55,24000000,108936478.1,1,0,0,108936478.1,1,0,0,109236684.1,1,0,1,109236684.1,1,1,0
1006,Jakarta,31,19000000,32943626.94,1,1,0,32830627.94,1,1,1,33223849.94,1,1,1,32746855.94,1,1,1
1006,Jakarta,36,44000000,163341114.7,2,1,1,163341114.7,2,1,0,163465824.7,2,1,1,163500230.7,2,1,1
1009,Jakarta,36,37000000,94218190.5,2,1,0,94218190.5,2,1,0,94395117.5,2,1,1,94262838.5,2,1,1
1007,Jakarta,37,52000000,51261288.43,2,1,0,51487606.43,2,1,1,51487606.43,2,1,0,51512813.43,2,1,1
1006,Jakarta,48,23000000,0.0,2,1,1,1059156.54,2,1,1,1059156.54,2,1,0,1059156.54,3,1,0
1009,Jakarta,29,26000000,0.0,2,1,0,0.0,2,1,0,754397.56,2,1,1,297072.56,2,1,1
1002,Jakarta,24,13000000,99315236.52,1,1,1,99067728.52,2,1,1,99290845.52,2,1,1,99290845.52,2,1,0
1009,Jakarta,38,31000000,36437626.76,2,1,1,36728784.76,2,1,1,36711977.76,2,1,1,37048228.76,3,1,1
1003,Jakarta,39,25000000,0.0,2,1,0,0.0,2,1,0,526307.96,2,1,1,371546.96,3,1,1
1008,Jakarta,42,60000000,0.0,1,1,1,0.0,1,1,0,0.0,1,1,0,164400.98,1,1,1
1002,Jakarta,64,22000000,156978879.0,1,1,1,156978879.0,1,1,0,156859525.0,1,1,1,156859525.0,1,1,0
1004,Jakarta,62,15000000,150204002.4,2,1,0,150204002.4,2,1,0,150054365.4,2,1,1,150325190.4,3,1,1
1009,Jakarta,42,48000000,29167941.39,1,1,0,29167941.39,1,1,0,29265255.39,1,1,1,29265255.39,1,1,0
1003,Jakarta,63,23000000,20672847.91,1,1,1,20672847.91,1,1,0,20672847.91,1,1,0,21086896.91,1,1,1
1004,Jakarta,39,41000000,62196306.61,1,1,0,62196306.61,2,1,0,62196306.61,2,1,0,62487540.61,2,1,1
1005,Jakarta,56,17000000,70977281.04,1,1,0,70977281.04,1,1,0,71290252.04,1,1,1,71290252.04,1,1,0
1009,Jakarta,49,27000000,32701214.48,2,1,1,32301873.48,2,1,1,32301873.48,2,1,0,32166209.48,2,1,1
1001,Jakarta,36,39000000,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1007,Jakarta,58,29000000,103266031.3,1,1,1,103030384.3,1,1,1,102983063.3,1,1,1,102983063.3,1,1,0
1004,Jakarta,64,17000000,71266532.4,1,0,1,70798537.4,1,0,1,70798537.4,1,0,0,70737667.4,1,1,1
1006,Jakarta,66,23000000,0.0,2,1,1,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1003,Jakarta,51,20000000,10776809.95,3,1,1,10776809.95,3,1,0,10776809.95,3,1,0,10776809.95,3,1,0
1003,Jakarta,31,35000000,0.0,2,1,0,0.0,3,1,0,0.0,3,1,0,0.0,3,1,0
1006,Jakarta,25,21000000,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1005,Jakarta,54,26000000,77609869.74,2,1,0,77580908.74,2,1,1,77312504.74,2,1,1,76848921.74,2,1,1
1003,Jakarta,24,12000000,33104477.41,1,1,0,33104477.41,1,1,0,33104477.41,1,1,0,32781611.41,1,1,1
1006,Jakarta,42,21000000,39916169.47,1,1,1,39742034.47,1,1,1,39507570.47,1,1,1,39288243.47,1,1,1
1005,Jakarta,29,24000000,44381807.82,2,1,0,44268045.82,2,1,1,44268045.82,2,1,0,44436441.82,2,1,1
1007,Jakarta,39,45000000,0.0,2,1,0,971280.5,2,1,1,508627.5,3,1,1,145397.5,3,1,1
1004,Jakarta,46,19000000,159629030.2,2,0,0,159605475.2,2,0,1,159527296.2,2,0,1,159317517.2,2,1,1
1001,Jakarta,52,30000000,0.0,1,1,0,0.0,1,1,0,891402.04,1,1,1,891402.04,1,1,0
1005,Jakarta,22,15000000,52920821.53,1,1,0,52932952.53,1,1,1,52932952.53,1,1,0,52932952.53,1,1,0
1002,Jakarta,43,45000000,0.0,2,1,1,1241179.2,2,1,1,1241179.2,2,1,0,960148.2,2,1,1
1001,Jakarta,35,20000000,65876163.68,2,1,0,65876163.68,2,1,0,65453855.68,2,1,1,65683171.68,2,1,1
1002,Jakarta,62,27000000,120731286.5,2,1,1,120444505.5,2,1,1,120444505.5,2,1,0,120112484.5,2,1,1
1001,Jakarta,30,28000000,0.0,2,1,0,1327453.84,2,1,1,910500.84,2,1,1,910500.84,3,1,0
1006,Jakarta,61,20000000,185852495.8,2,1,0,186241454.8,2,1,1,186483143.8,2,1,1,186177755.8,2,1,1
1003,Jakarta,22,12000000,0.0,1,1,1,0.0,1,1,0,134338.62,1,1,1,134338.62,2,1,0
1004,Jakarta,52,20000000,134774884.8,1,0,0,134774884.8,1,0,0,134442799.8,1,0,1,134442799.8,1,1,0
1002,Jakarta,24,5000000,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1001,Jakarta,29,17000000,85557430.26,1,1,1,85557430.26,1,1,0,85557430.26,1,1,0,85243390.26,1,1,1
1003,Jakarta,42,50000000,141377578.2,1,0,0,141377578.2,1,0,0,141558364.2,1,0,1,141491829.2,2,1,1
1009,Jakarta,64,25000000,0.0,2,1,1,0.0,2,1,0,0.0,2,1,0,1132538.34,3,1,1
1002,Jakarta,30,38000000,161178871.1,1,1,1,161178871.1,1,1,0,161415953.1,1,1,1,161415953.1,1,1,0
1009,Jakarta,44,46000000,15490436.48,1,1,1,15093694.48,2,1,1,15252722.48,2,1,1,14901353.48,2,1,1
1008,Jakarta,41,42000000,0.0,2,1,1,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1008,Jakarta,51,20000000,79276917.06,2,1,0,79374517.06,2,1,1,79374517.06,2,1,0,79374517.06,2,1,0
1006,Jakarta,61,17000000,0.0,1,1,1,1420586.24,1,1,1,1420586.24,1,1,0,1420586.24,1,1,0
1007,Jakarta,58,26000000,0.0,1,1,0,0.0,1,1,0,0.0,1,1,0,780713.9,1,1,1
1008,Jakarta,56,20000000,49656511.26,1,1,1,49656511.26,1,1,0,49656511.26,1,1,0,49976922.26,1,1,1
1005,Jakarta,23,11000000,0.0,3,1,0,0.0,3,1,0,0.0,3,1,0,0.0,3,1,0
1008,Jakarta,58,22000000,17945274.35,2,1,1,18215955.35,2,1,1,18540316.35,2,1,1,18919328.35,2,1,1
1004,Jakarta,52,18000000,0.0,1,0,0,0.0,1,0,0,0.0,1,0,0,124212.12,1,1,1
1001,Jakarta,69,0,33042124.37,2,1,0,32662492.37,2,1,1,32662492.37,2,1,0,33122343.37,2,1,1
1002,Jakarta,59,29000000,144142620.9,1,1,0,144142620.9,1,1,0,144425892.9,1,1,1,144425892.9,1,1,0
1009,Jakarta,24,16000000,0.0,2,1,1,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1002,Jakarta,23,13000000,0.0,2,1,1,0.0,2,1,0,0.0,2,1,0,486577.54,2,1,1
1009,Jakarta,41,56000000,0.0,2,1,1,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1004,Jakarta,62,23000000,180243372.2,1,1,1,179848965.2,1,1,1,179989592.2,1,1,1,180020027.2,1,1,1
1002,Jakarta,35,27000000,48393615.24,2,1,0,48393615.24,2,1,0,48452172.24,2,1,1,48917188.24,3,1,1
1001,Jakarta,23,4000000,85675723.06,1,1,0,85675723.06,1,1,0,85753740.06,1,1,1,85449297.06,1,1,1
1007,Jakarta,66,25000000,14492986.91,3,1,0,14841214.91,3,1,1,14841214.91,3,1,0,14841214.91,3,1,0
1005,Jakarta,31,23000000,140997643.1,1,1,0,140688115.1,1,1,1,140573207.1,1,1,1,140573207.1,1,1,0
